Variable,Minors,Adult,Middle_Age_Adult,Senior_Adult
Ward1,25585,35130,29380,25020
Ward2,23840,27570,32090,33700
Ward3,23620,44935,38605,32760
Ward4,19695,32780,30745,21485
Ward5,24855,32545,32015,26260
Ward6,21260,30195,30505,25390
Ward7,25945,33035,29185,23050
Ward8,26335,29275,32065,27150
Ward9,16995,38630,28435,20665
Ward10,11465,82310,26590,15035
Ward11,12470,43375,23180,23365
Ward12,17945,39700,28460,28005
Ward13,12755,57230,28185,18770
Ward14,20385,30005,31810,22360
Ward15,23965,24820,28810,23420
Ward16,19805,25495,25545,23490
Ward17,19255,36335,28090,28905
Ward18,18465,41185,30515,26960
Ward19,24165,27905,33140,23280
Ward20,24550,29370,31550,24630
Ward21,23405,32600,29470,26075
Ward22,18225,27650,26680,31140
Ward23,17845,26225,24465,25495
Ward24,23205,30160,26180,23215
Ward25,21140,27245,26415,26685
