Variable,Small_Households,Medium_Households,Large_Households
Ward1,17425,13920,6795
Ward2,25460,15840,4045
Ward3,46340,16385,2850
Ward4,34805,12475,2165
Ward5,25495,14930,4620
Ward6,23200,13610,4455
Ward7,17795,13540,6335
Ward8,27355,14205,4350
Ward9,30065,12845,2765
Ward10,70400,9175,1155
Ward11,42160,9645,1700
Ward12,44550,11470,2090
Ward13,59115,8325,1515
Ward14,30595,13110,2535
Ward15,23430,12750,3850
Ward16,23035,11755,3490
Ward17,27440,14915,3430
Ward18,32815,14585,3150
Ward19,28060,14725,2915
Ward20,23155,14130,4620
Ward21,21370,13785,5415
Ward22,20760,12885,4700
Ward23,12235,11560,5745
Ward24,18260,12645,5345
Ward25,13650,12625,6040
